Video ID,Views,Likes,Comments,Duration
-jBu0xjY-Ik,108004,9259,73,PT2H41M14S
lvaZC-AfU7I,225089,13887,135,PT5H32M1S
xGAopBdfr9Q,326714,23300,304,PT9H19M53S
zYNLByoDgRE,180556,15003,118,PT2H6M39S
6BWRkNy9EDk,251389,24248,340,PT3H21M13S
UNj-IaX2nsw,340818,23364,168,PT4H32M9S
8iqG7c1urL0,148834,11535,82,PT3H54M45S
HSJhDKnURQk,229258,16944,118,PT3H9M55S
cPbgoJte7-8,271239,19196,161,PT3H55M21S
53C1krrNK84,117849,10294,105,PT2H15M22S
9n0MKx-SBzw,277818,18793,105,PT5H40M14S
3H3jbK4b8Fs,121603,10268,107,PT3H15M4S
FJZv8tE1YA4,154726,12963,126,PT3H6M27S
dN6e_2uPEAs,154610,18277,168,PT1H35M5S
QT6NXR6ku2U,181292,13340,244,PT2H38M8S
GI_Z5KzmnaM,145876,10780,90,PT2H57M43S
loBe4RQo9og,280175,20091,128,PT4H57M21S
DFpctC3202A,95638,8960,54,PT1H52M48S
P8yg_KH9d1o,209317,18649,170,PT2H18M48S
12dLFbGOKN4,268303,24350,164,PT2H18M57S
nFWmee2wo0Y,463246,47846,882,PT17M1S
sXoYDGeNjvw,244730,20923,206,PT2H14M55S
Z8Gzc-VY8E4,195556,17321,217,PT1H45M9S
xeWBzIMZsdg,200819,15674,116,PT2H35M44S
cDMNMHCrp6Y,219912,17659,113,PT2H26M11S
q04qGK2dEgE,234548,17877,90,PT1H57M9S
ZThBRYC-xVc,186794,12974,86,PT4H31M57S
HJ-Nct6BG0Q,351844,24911,103,PT4H49M16S
BPEiCBDdllU,147932,15694,302,PT4M56S
8VMgyOajAzA,207723,18429,98,PT2H22M44S
D4-ujrMvL3Q,250448,25396,135,PT2H27M33S
6mnnrzouA7U,207046,17382,263,PT3H24M31S
UZ6wyOfvcxQ,728491,99294,1895,PT13M43S
OgbP3m60igk,673833,61150,996,PT14M
wX-dDi36lNA,1229198,117651,1654,PT16M1S
MhS1-go77VU,395920,30459,159,PT4H20M51S
dYCeLthqrHs,307199,24343,110,PT4H58M8S
QnURdv4vRHk,406207,29521,135,PT5H22M21S
X6srCgRHOFI,195725,18424,125,PT1H32M23S
TjZvVzLXyRM,387907,32962,196,PT3H49M29S
ldlmQt7fOv8,198518,17338,106,PT4H37M10S
DTyT4GvU6dU,204495,19268,149,PT1H54M37S
3EH2uePd2dU,343549,32303,170,PT3H24M39S
d-mjQrgtbyM,339491,32602,351,PT3H44M51S
GNu7vTAA-GI,257330,23899,196,PT4H19M55S
kWeUsO29kUE,554195,52416,1129,PT14M2S
NgsQWn3k_4U,196275,19042,135,PT2H56M46S
0V9VpHW559w,216527,21334,157,PT2H29M45S
iPLhm32eIHU,226399,28961,144,PT1H49M12S
w5Gr_xtk7yc,555642,54135,858,PT13M24S
e96HjUqlDI0,205638,19637,378,PT10M32S
I5YWGE2772I,185500,15745,91,PT2H13M3S
9EhbCu80gKs,173025,15700,161,PT2H30M54S
Pr9KBOhEwq8,122676,12594,165,PT1H10M20S
xfkB-1UqfdQ,1068468,76505,652,PT9M38S
DcK4ijS4ceg,292646,22148,110,PT6H27M58S
1IlRbxO_xuY,161341,13241,194,PT1H15M8S
Ivs5JTTnwgQ,214440,17186,155,PT5H55M41S
72iHO_TaZzw,240046,20614,105,PT5H2M52S
q-S_V2O1GDA,127347,11482,120,PT2H40M55S
ttQE81Pnzcs,310022,8378,85,PT3H42M2S
z8TnENRkBmk,179281,14887,253,PT9M6S
xAtznXj1rwU,95455,8271,53,PT2H23S
TmqoClEg1sU,79717,10457,1747,PT10M21S
gp7QrSqiYzk,199745,16081,111,PT3H41M8S
6sopV8mrzmw,115971,10535,105,PT2H10M8S
cnZsqO15ank,104629,9354,142,PT3H11M47S
SbEUqx9aKsU,163336,14032,247,PT3H25M21S
ZP55DGwt6NM,104403,9704,50,PT1H56M49S
pbfp_VrcV4g,86179,9404,223,PT4M34S
8dNSAcW6vcc,437598,39720,233,PT14S
atKg97zdg0E,124872,14459,225,PT9M11S
VwLMGjmF4rs,139335,12396,80,PT3H21M15S
BcKwPvoIw_0,163420,13487,115,PT2H32M41S
ttmKz-hhcHU,141349,11602,103,PT3H58M21S
bQV3Zi-OoHA,213223,16900,86,PT5H9M5S
FsI9eM699XQ,179960,16252,125,PT2H58M6S
o8BrDV04tvg,211227,27678,763,PT11M24S
omyOt_K28CI,207409,14637,123,PT3H26M25S
pB7HysSEZws,234265,16021,148,PT3H31M45S
g_2nFgcB2_E,232111,16391,120,PT3H48M52S
G1lPInGZzrY,142621,11044,158,PT2H41M54S
LftfECuw50E,167847,16337,238,PT2H53S
r1ykEgWO7gg,143290,13320,81,PT2H40M13S
qoneXSleXbc,317306,24314,281,PT9H25M9S
QEhdFTtE02Q,203230,17978,70,PT44S
7cyCP9CUQNw,230418,20192,165,PT2H19M31S
VIux2E2aDK0,176076,15493,95,PT2H29M35S
qKymo0n7nnI,315446,22817,190,PT5H24M28S
V2WBi0-h6iY,150159,14848,115,PT2H7M6S
4UDjCp8i2nc,124522,13666,162,PT2H44S
xT8LulioBQQ,290982,24899,137,PT54S
U2wiUJq1Sn0,254929,22716,234,PT2H54M54S
3tQVPf5SwtQ,208194,20825,151,PT2H41M5S
Z9RhwgbH_yA,561888,49153,158,PT56S
xmwqYe2oYjc,198604,19638,221,PT2H34M54S
ndsClWnNjis,285964,25683,376,PT9M42S
9vyKlwDAzNw,249981,25534,135,PT2H35M5S
5PHP3-CmaEA,790161,69469,1199,PT8M56S
NX-z35iN17w,360084,31023,238,PT4H39S
6EbGxB3T8Ug,124888,12495,62,PT2H34M26S
l8lRT_cpkFE,173629,16998,148,PT2H23M42S
lasplZEYWe4,323268,31358,475,PT9M28S
jIV12XdzCjA,117536,9523,78,PT41S
W440HNUkq6g,206974,18714,130,PT2H31M56S
4C46EiDhVuQ,248747,33404,2425,PT12M27S
hUDB6jxXXPw,381912,35267,361,PT3H48M43S
Tf_ae_ysy3w,281622,39216,1041,PT11M41S
GGsCcAqVOFQ,243890,38879,610,PT9M27S
d3DIsa5RJoU,289088,31913,198,PT3H15M38S
OOe03y4uXbE,274117,40733,929,PT13M19S
z5R2SefO_Do,221275,22198,177,PT2H31M6S
H9ggF3p4Pt8,269031,42299,911,PT11M53S
YaK7EdaIlsA,502501,70401,1371,PT12M35S
O_OlGIxoaEc,219245,22656,143,PT2H2M26S
ytCcd-tl85Y,254256,42145,712,PT13M12S
B88XfDu1SMU,252838,26563,162,PT3H4M35S
h2JZFXv9GmI,295662,47640,725,PT11M3S
WABWbaaOj8c,291231,29290,206,PT3H20M9S
DMpTcsoQ-PU,229628,34301,696,PT10M41S
8KE5ARnddBc,294004,28695,226,PT2H41M30S
ehLwAzEe3o4,92503,8651,109,PT26S
N9myPCVZjZU,287842,36282,493,PT9M7S
akBeezlVhaY,208990,25872,159,PT1H57M24S
EMNK21arN5Q,277365,39854,935,PT14M48S
-woUAauHxAU,256424,27598,322,PT2H33M6S
UwSHS1EenGY,878911,85638,894,PT11M31S
95rvTY0xeKI,398736,45825,324,PT4H57M5S
53Kor9BeBoA,330857,44626,623,PT10M59S
DqU8-CeaUVg,382151,36757,187,PT4H20M34S
-ljzMXtYetM,466716,50486,593,PT12M15S
IRi2WHSDNrM,219816,24807,302,PT1H11M
XLHLQwwt2To,320696,46162,709,PT13M54S
nSSJq79JLdc,377006,36033,205,PT3H19M45S
xicuRPp4drw,393168,70975,1598,PT16M37S
WF8yi0X1yGo,770386,88897,1111,PT15M14S
G2d6OvDFvFI,364152,72119,1027,PT10M46S
dczztQBmsfg,430593,42029,538,PT3H48M11S
nDUT_2WORv0,169693,22767,295,PT8M9S
Nmo1x3Uoq1o,278681,28530,216,PT2H15M25S
y-sd4Dmcl1I,428790,42856,219,PT3H43M36S
tlCHbuCkTEE,424474,42649,286,PT3H12M1S
uVpbPkeVSCg,462557,41998,265,PT3H32M7S
JDluWlohfwY,383922,28470,318,PT20M14S
frXVODJFBMg,416211,36804,142,PT4H9M53S
SX7AEzQjM5c,190981,27837,540,PT13M37S
ELrbcZymEu4,268933,24322,89,PT2H36M38S
lGIUkbk17S0,371297,33685,157,PT4H8M21S
TCWSeteFwCI,260951,27234,487,PT11M37S
8_s1zvAfwWI,227764,32144,2584,PT9M11S
pDj9nVacwcA,350436,33499,188,PT4H45M2S
dbc2o9-RZQc,340435,30648,171,PT3H43M58S
ROXPCZ2z0u4,229610,23872,172,PT1H18M22S
YK1uIohoS_Q,351612,44530,2551,PT15M11S
CDintQSOTHo,345810,31788,628,PT4H7M15S
tWEdSLemk4k,968313,76827,1898,PT10M33S
AEtSMoyhq4k,224649,22955,84,PT2H16M49S
JjZN6HaFmzg,342593,36063,1624,PT9M31S
fFdyj_bN67I,322145,30591,270,PT5H49S
RHw_Uk3P0GE,512633,54817,259,PT16S
Qz5TwELEk9w,307776,46596,2577,PT17M26S
IWuaXsqxBBU,133610,13683,120,PT55M55S
1tpWHibexMk,316632,26922,177,PT3H6M59S
tiT9qdNmwGY,369993,32287,181,PT5H26M16S
p9P8cLiQ0ck,360277,31213,303,PT4H27M14S
4ET_Zf0dYkg,401325,36441,326,PT4H58M43S
DETJI6AOJ-k,189673,18506,99,PT55S
i7u_rMRfUEA,426570,36237,304,PT4H54M38S
9hLU3fx0h10,505265,53087,861,PT9M48S
2FLL3poBKig,215301,23945,439,PT7M25S
